ID;Name
429990;AWT 298 F3/1976/-1404/1-1 (0-3101-01-0010881-02-01)
402650;AWT 212/FQN F3/1970/-2223/1-2 (0-3101-01-0002234-02-02)
422703;AWT 65H F4U/2012/1814/2-2 (0-3101-01-0007962-02-03)
403837;AWT 40D F6l/1974/-1611/1-2 (0-3101-01-0002213-02-02)
422994;AWT 13D F4U/1998/250/1-1 (0-3101-01-0007698-02-03)
426684;AWT 34H F4U/1995/176/2-1 (0-3101-01-0010032-02-02)
412698;AWT 228 F3/1975/-5315/1-1 (0-3101-01-0005681-02-01)
422889;AWT 232/ F3/1980/-1522/2-2 (0-3101-01-0010833-02-02)
413419;AWT 67B/68A EH4/1973/-2363/2-2 (0-3101-01-0005647-03-12)
403882;AWT 14D F3/1979/-6922/1-2 (0-3101-01-0002217-02-02)
405465;AWT 469 F4U/1991/146/2-2 (0-3101-01-0002637-02-01)
416794;AWT 04BG F5p/2001/23/1-2 (0-3101-01-0006103-02-01)
405490;AWT 236/237 EUH4/1985/183/2-2 (0-3101-01-0002685-03-04)
405787;AWT 15H F4Up/2001/522/2-1 (0-3101-01-0003675-02-02)
405395;AWT 45BG/46G EUH3/2002/47/2-2 (0-3101-01-0002860-03-08)
420038;AWT 203/ F3/1980/-10006/1-2 (0-3101-01-0006109-02-03)
405215;AWT 34G F3/1970/-6726/2-1 (0-3101-01-0003543-02-03)
373697;AWT 12H F215/2015/1902/1-2 (0-3101-01-0000015-03-25)
374317;AWT 33T F4U/2004/40/2-1 (0-3101-01-0000039-02-02)
424483;AWT 06F P300/2009/51/2-1 (0-3101-01-0009455-02-02)
374145;AWT 30BC P500/2003/55/1-2 (0-3101-01-0000030-02-02)
352983;AWT 20AO/19BO EUH4/1984/84/1-1 (0-3101-01-0001406-03-03)
373366;AWT 650 F4U/2014/1325/2-2 (0-3101-01-0000758-02-01)
409778;AWT 16 F4U/1983/380/1-2 (0-3101-01-0005587-02-03)
352744;AWT 22T/23T EUH4/1999/491/1-2 (0-3101-01-0001365-03-03)
353418;AWT 92 F3/1982/264/1-2 (0-3101-01-0001507-02-03)
352938;AWT 01AE 14066 (0-3101-01-0005520-02)
375983;AWT 662 F4U/2000/107/1-1 (0-3101-01-0000587-01-03)
376376;AWT 94 F4U/1987/88/1-2 (0-3101-01-0001510-03-03)
353727;AWT 01AD 00307 (0-3101-01-0205265-02)
376882;AWT 84R F215/2015/31/1-2 (0-3101-01-0001524-02-06)
376223;AWT 01AO F5/1984/53/2-1 (0-3101-01-0001561-02-01)
374781;AWT 61O F4/1983/222/1-1 (0-3101-01-0001534-02-02)
407050;AWT 214 F3/2001/40/2-1 (0-3101-01-0005609-01-01)
378150;AWT 110B F4/2008/605/2-1 (0-3101-01-0001542-02-02)
352837;AWT 22G F4/1977/-3225/2-1 (0-3101-01-0000046-02-01)
369397;AWT 245 F4U/1998/55/2-1 (0-3101-01-0000232-02-02)
417746;AWT 08BE/09AE EUH4/2002/162/1-1 (0-3101-01-0005918-03-03)
264908;AWT 03AG 15825 (0-3101-01-0005384-01)
352867;AWT 12G F4/1977/-3205/2-1 (0-3101-01-0000049-02-01)
422071;AWT 38H F4U/1981/454/1-2 (0-3101-01-0007055-02-03)
420780;AWT 46S F4U/1993/27/1-1 (0-3101-01-0010850-02-03)
417294;AWT 40AF P300/2001/76/2-2 (0-3101-01-0005947-02-03)
401522;AWT 18E/17AE EUH4/1992/121/1-2 (0-3101-01-0002005-03-07)
417866;AWT 50BD F4U/1995/327/1-2 (0-3101-01-0005905-02-02)
401743;AWT 10BI P300/2000/95/2-1 (0-3101-01-0001996-02-03)
453891;AWT 02AG P500/2014/1328/1-1 (0-3101-01-0019936-02-04)
396725;AWT 31D/29BD EUH3/1984/36/1-2 (0-3101-01-0002026-03-09)
415549;AWT 30W F4U/1994/129/1-1 (0-3101-01-0005869-02-02)
444266;AWT 16AU P300/1999/131/2-2 (0-3101-01-0016553-02-02)
411819;AWT 203 FPU/1998/14/1-2 (0-3101-01-0005616-02-03)
452406;AWT 11I F5/2011/25/2-2 (0-3101-01-0019901-02-01)
402570;AWT 31BF F4/1982/272/1-2 (0-3101-01-0002020-02-01)
402124;AWT 16F F4/1977/-3926/1-1 (0-3101-01-0002061-02-03)
418789;AWT 44AF F4Up/2003/72/2-1 (0-3101-01-0005964-02-01)
400342;AWT 42D/32B EUH4/1980/34/1-1 (0-3101-01-0002122-03-08)
410103;AWT 82A/83 EUH4/1986/111/2-1 (0-3101-01-0005645-03-10)
426158;AWT 59R F4/75/-4631/1-2 (0-3101-01-0010517-02-03)
425510;AWT 3A F6l/1980/222/1-1 (0-3101-01-0009834-02-02)
400367;AWT 22C F4U/1986/109/2-2 (0-3101-01-0002123-02-01)
427774;AWT 03AS F4/2000/45/2-1 (0-3101-01-0010626-02-03)
452411;AWT 11I F5/1970/60/1-1 (0-3101-01-0019901-02-02)
681149;AWT 243 H3/1982/-7917969 (0-3101-01-0193229-02-01)
428546;AWT 40BR F4U/1993/66/2-2 (0-3101-01-0010867-02-03)
404433;AWT 14AD/13BD EUH4/2016/24/2-1 (0-3101-01-0002118-03-10)
423561;AWT 56R F4U/1987/294/1-2 (0-3101-01-0008891-02-02)
423847;AWT 10BR/20R EH4/71/-4615/1-1 (0-3101-01-0010513-03-01)
412019;AWT 62B/67A EUH4/1986/268/1-1 (0-3101-01-0005658-03-02)
404182;AWT 25AD/23BD EUH4/1998/261/1-2 (0-3101-01-0002115-03-03)
412818;AWT 08AF/07BF EUH4/1993/57/1-1 (0-3101-01-0005632-03-03)
404478;AWT 42D/32B EUH4/1980/18/1-2 (0-3101-01-0002122-03-06)
404202;AWT 27BC/28C EUH4U/2004/240/2-2 (0-3101-01-0003663-03-03)
419727;AWT 49AF F4Up/2004/23/2-2 (0-3101-01-0006236-02-02)
410879;AWT 15 F3/1999/21/2-1 (0-3101-01-0005758-02-02)
403031;AWT 63 F3/1973/-7712/1-2 (0-3101-01-0003867-02-03)
405495;AWT 236/237 EUH4/1985/186/1-2 (0-3101-01-0002685-03-06)
420128;AWT 60F/40BF EUH4U/2000/116/1-1 (0-3101-01-0006084-03-09)
405812;AWT 20H F4U/1999/149/1-2 (0-3101-01-0003717-02-03)
472083;AWT 15BD/16D EUH4/1985/318/1-1 (0-3101-01-0027043-03-05)
374019;AWT 15L F4U/1993/390/2-2 (0-3101-01-0000284-02-01)
425265;AWT 11BQ/12AQ EUH3/80/24/1-1 (0-3101-01-0009043-03-08)
373961;AWT 23A/2T TH4/1982/-260/1-1 (0-3101-01-0000015-03-05)
374247;AWT 849 F4U/1991/-6587/2-1 (0-3101-01-0000207-03-02)
375333;AWT 10N/28N EUH4/1997/ 186/1-1 (0-3101-01-0000643-03-05)
417444;AWT 63BG F4Up/2002/3/2-2 (0-3101-01-0005992-02-01)
409401;AWT 404 F3/1972/-6525/2-2 (0-3101-01-0005511-02-01)
417149;AWT 253 F4U/1994/554/2-1 (0-3101-01-0005859-02-02)
373446;AWT 698 F4Up/2000/108/1-1 (0-3101-01-0001078-02-01)
376163;AWT 11AF P300/1999/238/1-1 (0-3101-01-0001367-02-03)
354235;AWT 01AN 10681 (0-3101-01-0157155-02)
354270;AWT 01AF 09311 (0-3101-01-0175630-02)
376104;AWT 17BO/23O EUH4/2010/2145/2-2 (0-3101-01-0001396-03-12)
409903;AWT 31V F3/1982/-7575/2-1 (0-3101-01-0005568-02-01)
375248;AWT 06F F4/1978/-3565/1-2 (0-3101-01-0001972-02-03)
378110;AWT 11 F3/1972/-4740/1-1 (0-3101-01-0001538-02-03)
378210;AWT 43AO/44O EH3/1974/-750/2-1 (0-3101-01-0001553-03-08)
353635;AWT 13I F4U/1981/11/2-1 (0-3101-01-0000009-02-02)
370927;AWT 31AT/32T EUH4U/1992/85/1-2 (0-3101-01-0000020-03-06)
265229;@[BE0F3D70-8553-4E06-AC5E-5CC0772FC85F]
264679;AWT 37K/08BK 07560 (0-3101-01-0013739-03)
264684;AWT 09AK/35K 07563 (0-3101-01-0013740-03)
413766;AWT 13BH F5p/2004/0043/2-2 (0-3101-01-0005889-02-01)
410508;AWT 8 F3/1970/-2750/2-1 (0-3101-01-0005581-02-01)
430828;AWT 226 F3/1973/-1560/2-2 (0-3101-01-0010892-02-01)
426078;AWT 13R F4Up/2004/35/2-1 (0-3101-01-0010842-02-01)
410528;AWT 49H F4U/1989/99/2-1 (0-3101-01-0005583-02-01)
395230;AWT 15BF P500/2001/72/1-2 (0-3101-01-0002098-02-01)
417871;AWT 50BD F4U/1995/270/2-1 (0-3101-01-0005905-02-03)
402039;AWT 44F F3/1981/-4253/2-1 (0-3101-01-0002053-02-02)
401582;AWT 17BE F4/2010/1176/2-1 (0-3101-01-0002007-02-03)
411351;AWT 31D F3/1975/-2545/2-2 (0-3101-01-0005532-02-02)
402349;AWT 03F/02F EH4/1978/-3410/2-1 (0-3101-01-0002040-03-11)
402670;AWT 12F/11BF EUH4/1981/192/1-1 (0-3101-01-0002103-03-09)
411834;AWT 06F/05F EUH4/2001/19/2-1 (0-3101-01-0005617-04-04)
421896;AWT 528 F4Up/2006/43/1-1 (0-3101-01-0008746-02-03)
418889;AWT 261 F4U/1994/-32/2-1 (0-3101-01-0005872-02-02)
412452;AWT 06F/05F EUH4/2013/43/2-1 (0-3101-01-0005617-04-08)
418489;AWT 12AH/11H EUH3/1987/15/2-2 (0-3101-01-0005882-03-08)
424022;AWT 06M/04BM EH3/1971/-960/2-1 (0-3101-01-0009583-03-07)
428174;AWT 44BD/45D EH3/2004/34/2-2 (0-3101-01-0010621-03-01)
402830;AWT 26AD/25BD EUH4/2014/1555/2-2 (0-3101-01-0002116-03-08)
